"id","risk_level","title","message","tags","target_categories","source","source_url","semantic_context"
"11","baixo","Drenagem de Ar-Condicionado em Escritórios","Verifique se os pingadeiros de ar-condicionado em edifícios comerciais possuem escoamento direto para a rede de esgoto ou se os recipientes coletores são esvaziados diariamente. O acúmulo de água limpa nesses recipientes cria criadouros perfeitos para arboviroses.","ar-condicionado; escritórios; pingadeira; drenagem","Mosquito","Fiocruz","https://www.fiocruz.br","Edifício comercial no centro urbano, risco baixo. Uso intenso de sistemas de climatização. Presença de pequenas bandejas de coleta externa sem acúmulo significativo por conta de evaporação rápida. Temperatura elevada e baixa umidade. A intervenção foca na adequação dos pontos de drenagem para evitar focos suspensos."
"12","baixo","Higienização de Bebedouros de Animais","Lave com bucha e sabão os recipientes de água dos seus animais de estimação pelo menos uma vez por semana. Apenas trocar a água não elimina os ovos do mosquito, que ficam firmemente aderidos às paredes do recipiente por longos períodos.","pets; bebedouros; limpeza; ovos","Mosquito","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Ambiente doméstico em área urbana com presença de animais de estimação. Risco baixo. Recipientes plásticos de água limpa trocados diariamente. Clima ameno. Risco epidemiológico associado ao descolamento incompleto de ovos aderidos na borda do vaso durante simples enxágue."
"13","baixo","Cuidados em Cemitérios Municipais","Substitua a água dos vasos de flores em cemitérios por areia úmida ou utilize arranjos artificiais sem recipientes coletores. Perfure os vasos fixos para permitir o escoamento imediato das águas pluviais, impedindo a proliferação do Aedes aegypti.","cemitério; vasos; areia; finados","Mosquito","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Cemitério municipal em área central, risco baixo. Vasos de flores preenchidos com areia até a borda e furos de drenagem desobstruídos. Poucas flores naturais presentes. Clima seco com baixa umidade relativa. Monitoramento constante necessário devido ao histórico estrutural destes locais como potenciais focos amplificados."
"14","baixo","Gestão de Entulho em Pequenas Reformas","Armazene resíduos de construção civil sob lonas impermeáveis e bem esticadas durante reformas residenciais. Evite o acúmulo de sacos de ráfia e baldes no quintal, promovendo o descarte rápido via caçambas credenciadas junto à prefeitura local.","entulho; reforma; caçamba; resíduos","Entulho; Mosquito","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Residência urbana passando por pequena reforma de pintura e revestimento. Risco baixo. Entulho ensacado e armazenado temporariamente em local coberto. Ausência de acúmulo de água em recipientes da obra. Estação seca. A vigilância visa evitar o prolongamento da permanência dos resíduos antes da remoção oficial."
"15","baixo","Vistoria de Garagens Subterrâneas","Inspecione poços de elevadores e poços de sucção em garagens subterrâneas de condomínios. Mantenha as bombas de esgotamento funcionais e aplique telas de proteção nas grelhas de captação de água da chuva para evitar a entrada de mosquitos.","garagem; condomínio; poço; bomba","Mosquito; Alagamento","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Subsolo de edifício residencial com garagem coberta. Risco baixo. Sistemas de bombagem operando em ciclo automático sem acúmulo de água residual. Temperatura ameno-fria no subsolo. Ação epidemiológica voltada à garantia do funcionamento preventivo do sistema hidráulico do prédio."
"16","baixo","Limpeza Preventiva de Ralos Externos","Aplique telas milimétricas nos ralos localizados em áreas abertas ou jogue água sanitária semanalmente nos recipientes com fecho hídrico. A medida impede que o Aedes aegypti e outros vetores utilizem a água parada do fundo do ralo para oviposição.","ralos; água sanitária; tela; área externa","Mosquito; Esgoto","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Área externa de imóvel comercial consolidado. Risco baixo. Ralos sifonados com pequeno espelho d'água limpa. Sistema de esgotamento ligado à rede pública. Clima estável. Risco associado à estagnação hídrica em ralos pouco utilizados durante períodos de seca prolongada."
"17","baixo","Descarte do Lixo Doméstico no Horário","Coloque os sacos de lixo na calçada apenas próximo ao horário de coleta do caminhão. Evite que os sacos fiquem expostos a animais que possam rasgá-los, gerando recipientes plásticos espalhados aptos a acumular água da chuva.","lixo doméstico; coleta urbana; limpeza; embalagens","Lixo","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Bairro residencial planejado com coleta regular de lixo em três dias na semana. Risco baixo. Sacos de lixo bem vedados e posicionados em lixeiras altas. Ausência de resíduos espalhados. Clima ensolarado. Foco no fortalecimento da adesão da comunidade aos horários oficiais do serviço público."
"18","baixo","Manejo de Bambuzais e Bromélias em Parques","Realize o corte rente dos nós de bambus e faça a manutenção fitossanitária de bromélias em parques públicos. Em períodos secos, a inspecção das espécies botânicas impede a formação de focos naturais de mosquitos em áreas de preservação ou lazer.","parque; bromélias; bambu; meio ambiente","Vegetação alta; Mosquito","Organização Mundial da Saúde","https://www.who.int","Parque urbano com mata nativa e trilhas estruturadas. Risco baixo. Bromélias e nós de bambu sem água estagnada visível devido à baixa pluviosidade. Presença de fauna predadora nativa de larvas. Temperatura amena. Avaliação do equilíbrio ecológico com foco na prevenção de surtos silvestres ou periurbanos."
"19","baixo","Armazenamento de Utensílios em Hotéis","Hotéis e pousadas devem manter pratos, copos e bandejas de áreas externas guardados de cabeça para baixo quando fora de uso. Piscinas devem manter o tratamento químico de cloro atualizado mesmo em períodos de baixa ocupação turística.","hotelaria; piscinas; turismo; recipientes","Mosquito","Fiocruz","https://www.fiocruz.br","Estabelecimento hoteleiro em zona praiana comercial. Risco baixo. Piscina tratada com cloração automática e área de lazer limpa sem recipientes expostos. Estação turística baixa, chuvas escassas. Ações focadas na manutenção dos protocolos sanitários em instalações recreativas de grande rotatividade."
"20","baixo","Vistoria de Lajes em Prédios Públicos","Realize inspeções mensais nas lajes de edifícios governamentais. Desobstrua os pontos de escoamento para evitar o surgimento de lâminas d'água acumuladas. O setor público deve manter suas edificações rigorosamente livres de focos transmissores de arboviroses.","prédio público; laje; escoamento; drenagem","Mosquito; Alagamento","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Cobertura plana de prédio administrativo municipal. Risco baixo. Laje impermeabilizada com inclinação adequada e ralo central limpo sem lâmina d'água acumulada. Clima seco. A atividade visa manter o cumprimento rigoroso da legislação de vigilância em instalações governamentais."
"21","baixo","Cuidado com Capotas de Picapes e Veículos","Evite o acúmulo de água nas lonas de cobertura de caçambas de veículos estacionados por longos períodos. Mantenha as lonas bem esticadas ou recolhidas para impedir que formem poças d'água adequadas para a postura de ovos.","veículos; lonas; garagem; transporte","Mosquito","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Estacionamento descoberto em pátio fabril. Risco baixo. Veículos comerciais cobertos por lonas plásticas bem tensionadas sem bolsões d'água. Clima seco. Prevenção voltada à orientação de frotistas e proprietários de veículos para evitar microfocos acumulativos sobre lonas flexíveis."
"22","baixo","Sanitização de Caixas de Passagem","Mantenha as caixas de passagem de tubulações de telefonia e energia limpas e secas. A vedação adequada das tampas de concreto impede o acesso do fêmea do Aedes aegypti às superfícies úmidas do subsolo urbano.","infraestrutura; caixas de passagem; fiação; vedação","Mosquito; Esgoto","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Calçadas de via pública central com caixas de inspeção de concessionárias de serviços. Risco baixo. Tampas bem encaixadas e fundo seco. Ausência de acúmulo de águas pluviais ou esgoto subterrâneo. Clima estável. Vigilância voltada à infraestrutura de redes subterrâneas de utilidades."
"23","baixo","Manutenção Preventiva de Fontes Luminosas","Fontes e espelhos d'água em praças públicas ou condomínios devem manter a circulação de água constante ou receber tratamento químico semanal. O movimento da água e o uso de larvicidas impedem o desenvolvimento das larvas.","fonte ornamental; espelho d'água; tratamento; circulação","Mosquito","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Lobby exterior de centro empresarial com espelho d'água ornamental. Risco baixo. Sistema de bomba mantendo a água em movimentação contínua e filtragem ativa. Tempo limpo. A ausência de estagnação impede o ciclo biológico do vetor em ambientes altamente movimentados."
"24","baixo","Gestão de Resíduos em Restaurantes","Restaurantes e lanchonetes devem descartar latas de conserva e recipientes plásticos em sacos reforçados no ambiente interno até o momento do recolhimento. Jamais acumule embalagens abertas nos fundos do lote expostas ao tempo.","restaurante; resíduos; recicláveis; gastronomia","Lixo; Mosquito","Fiocruz","https://www.fiocruz.br","Área de fundos de restaurante no setor gastronômico urbano. Risco baixo. Recicláveis limpos e armazenados em recipientes fechados aguardando coleta seletiva. Clima seco. Ações direcionadas à manutenção das rotinas de higiene do setor alimentício para evitar atrativos vetoriais."
"25","baixo","Vistoria de Obras Paralisadas de Pequeno Porte","Proprietários de construções paralisadas devem inspecionar a laje e os pavimentos periodicamente para remover focos em baldes ou poças. Cubra os fossos e proteja as áreas que possam reter água durante pancadas de chuva isoladas.","obra paralisada; construção; vistoria; laje","Entulho; Mosquito","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Pequena obra de alvenaria interrompida em área residencial. Risco baixo. Materiais empilhados e cobertores instalados. Laje seca por conta de cobertura provisória de telhas de fibrocimento. Período de estiagem. O monitoramento evita o abandono do local como potencial ponto crítico."
"26","baixo","Adoção de Práticas de Compostagem Segura","Compostagens domésticas devem ser mantidas cobertas e com controle rigoroso de umidade para não gerar acúmulo de líquido livre. O manejo adequado transforma resíduos orgânicos sem criar ambientes favoráveis para mosquitos e pragas urbanas.","compostagem; resíduos orgânicos; sustentabilidade; quintal","Lixo; Vegetação alta","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Residência com horta comunitária e leito de compostagem. Risco baixo. Processo de compostagem bem gerido com matéria seca cobrindo os resíduos umidos sem formação de chorume superficial. Tempo ameno. Vigilância com foco em orientar práticas ecológicas sem riscos sanitários."
"27","baixo","Descarte Consciente de Eletrodomésticos","Encaminhe geladeiras, máquinas de lavar e eletrodomésticos velhos aos Ecopontos do município. Não abandone esses itens em vias públicas ou quintais, onde suas cavidades internas acumulam água e servem de criadouros perfeitos.","ecoponto; eletrodomésticos; inservíveis; reciclagem","Entulho; Mosquito","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Bairro residencial com acesso facilitado a Ecopontos municipais. Risco baixo. Ausência de inservíveis descartados em calçadas ou terrenos. População informada e colaborativa. Clima ameno. A intervenção reforça a importância da destinação correta de grandes resíduos sólidos."
"28","baixo","Limpeza de Canaletas de Drenagem Predial","Limpe semanalmente as canaletas de escoamento de água da chuva nos corredores laterais das residências. Remova terra e folhas que retardam o fluxo da água, garantindo secagem rápida após qualquer precipitação pluviométrica.","canaleta; drenagem; quintal; escoamento","Mosquito; Alagamento","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Corredor lateral de casa térrea consolidada. Risco baixo. Canaleta de cimento limpa sem deposição de sedimentos ou folhagem. Fluxo hídrico totalmente livre. Estação seca. A medida assegura a pronta evacuação de água em eventos chuvosos inesperados."
"29","baixo","Manejo de Coberturas em Quadras Esportivas","Mantenha as calhas e coberturas plásticas de quadras esportivas comunitárias esticadas e desobstruídas. A verificação constante evita o represamento de água e protege os frequentadores do local contra doenças transmitidas por mosquitos.","esporte; quadra; calhas; lazer","Mosquito","Fiocruz","https://www.fiocruz.br","Complexo esportivo comunitário em área urbana. Risco baixo. Lona de cobertura de arquibancada bem tensionada e calhas limpas. Ausência de recipientes plásticos no entorno da quadra. Tempo seco. Ação focada no espaço coletivo para garantia de ambiente seguro às práticas esportivas."
"30","baixo","Vedação de Cisternas de Água de Chuva","Certifique-se de que o filtro de entrada e o extravasor (ladrão) da sua cisterna possuam telas de malha fina contra insetos. A captação sustentável de água deve andar junto com o controle rigoroso do vetor da dengue.","cisterna; água de chuva; sustentabilidade; tela","Mosquito","Organização Mundial da Saúde","https://www.who.int","Residência equipada com sistema de aproveitamento de águas pluviais. Risco baixo. Reservatórios perfeitamente vedados com malha de aço inoxidável nos pontos de respiração e entrada. Clima estável. Foco na manutenção da segurança sanitária de tecnologias ecológicas residenciais."
"31","baixo","Inspeção em Garagens de Empresas de Ônibus","Empresas de transporte público devem armazenar pneus de frotas e peças de reposição em locais cobertos e protegidos das chuvas. Lave periodicamente os pátios garantindo o correto escoamento até a rede de drenagem pluvial.","ônibus; frota; pneus; garagem industrial","Mosquito; Entulho","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Garagem industrial de empresa de transporte rodoviário urbano. Risco baixo. Pneus de substituição estocados dentro de galpão fechado. Pátio asfaltado e inclinado para canaletas operacionais. Clima seco. Fiscalização preventiva do setor corporativo industrial de grande porte."
"32","baixo","Proteção de Vasos Sanitários Pouco Usados","Mantenha a tampa fechada ou aplique filme plástico em vasos sanitários de imóveis desocupados ou pouco utilizados. Colocar sabão em pó ou água sanitária no sifão reduz as chances de criação do mosquito em locais fechados.","imóvel fechado; vaso sanitário; sifão; prevenção","Mosquito","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Apartamento desocupado disponível para locação em edifício central. Risco baixo. Tampas de sanitários vedadas com filme plástico e ralo com fecho ajustado. Sem sinais de umidade ou focos. A medida previne que imóveis desabitados se tornem focos silenciosos na malha urbana."
"33","baixo","Uso Repelentes e Telas nas Janelas","Instale telas de proteção em janelas e portas para criar uma barreira física contra a entrada de mosquitos. O uso diário de repelentes registrados na Anvisa complementa a proteção individual nos momentos de maior atividade do vetor.","repelente; tela mosquiteira; proteção individual; residência","Mosquito","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Área residencial periurbana próxima a fragmentos florestais. Risco baixo. Janelas equipadas com telas mosquiteiras em bom estado. Hábitos de proteção individual adotados pela família. Clima ameno. Abordagem de proteção secundária e barreira física mecânica."
"34","baixo","Monitoramento de Floreiras em Varandas","Inspecione semanalmente as floreiras e jardineiras suspensas em varandas de edifícios. Evite o uso de pratos coletores ou assegure-se de que estejam preenchidos com areia lavada para impedir o acúmulo de água de rega.","varanda; floreira; jardim suspenso; prédios","Mosquito; Vegetação alta","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Varandas de edifício residencial de classe alta. Risco baixo. Pratos de plantas com areia úmida sem lâmina de água livre. Vegetação ornamental bem cuidada. Temperatura amena. Orientação para evitar a criação de microfocos verticais em edifícios de múltiplos andares."
"35","baixo","Manejo de Resíduos em Hortas Urbanas","Mantenha os baldes de rega e regadores mantidos de cabeça para baixo nas hortas comunitárias após o uso. Embalagens de adubo e mudas devem ser descartadas em recipientes fechados para impedir o acúmulo de água pluvial.","horta comunitária; regador; plantio; agricultor urbano","Mosquito; Vegetação alta","Fiocruz","https://www.fiocruz.br","Horta comunitária em terreno público de bairro consolidado. Risco baixo. Utensílios de irrigação guardados secos em abrigo coberto. Canteiros limpos e bem manejados. Clima ensolarado. Ação de incentivo à continuidade das boas práticas agrícolas urbanas."
"36","baixo","Inspeção em Depósitos de Recicláveis Organizados","Cooperativas de reciclagem devem manter a triagem atualizada e os materiais enfardados em galpões cobertos. O armazenamento correto previne a formação de focos no material estocado e valoriza o trabalho dos catadores com segurança sanitária.","reciclagem; catadores; resíduos; galpão","Lixo; Mosquito","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Galpão de cooperativa de catadores de materiais recicláveis. Risco baixo. Fardos de plástico e alumínio estocados sob estrutura coberta e sobre paletes. Ausência de umidade interna. Tempo seco. Acompanhamento sanitário de atividades da economia circular."
"37","baixo","Limpeza de Bandejas de Evaporação de Geladeiras","Higienize a bandeja de evaporação de água localizada na parte traseira da sua geladeira a cada seis meses. Embora o calor do compressor ajude a evaporar a água, o acúmulo de sujeira pode retê-la por tempo suficiente para atração de vetores.","geladeira; eletrodomésticos; manutenção doméstica; cozinha","Mosquito","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Ambiente interno da cozinha residencial. Risco baixo. Equipamentos eletrodomésticos modernos com evaporadores operando perfeitamente e sem resíduos orgânicos acumulados. Temperatura interna amena. Prevenção voltada para pontos cegos na inspeção doméstica diária."
"38","baixo","Manutenção de Barcos e Embarcações Pequenas","Mantenha pequenas embarcações, barcos de pesca e canoas virados de cabeça para baixo ou cobertos por lonas bem esticadas fora da água. Verifique se o bujão de escoamento do casco está aberto para evitar o acúmulo de chuva.","embarcações; pescaria; litoral; água parada","Mosquito","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Comunidade pesqueira em área litorânea protegida. Risco baixo. Pequenos barcos de alumínio armazenados secos em área coberta no deque. Estação seca com ventos moderados. Orientação voltada às comunidades tradicionais e de turismo náutico."
"39","baixo","Descarte de Potes de Comida para Animais de Rua","Retire e descarte potes plásticos e recipientes improvisados colocados na rua para alimentar animais abandonados após o uso. A intenção de cuidado não pode resultar em potenciais focos do mosquito após o período de chuvas.","animais de rua; recipientes; limpeza; voluntariado","Lixo; Mosquito","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Via pública residencial com atuação de protetores de animais. Risco baixo. Recipientes plásticos mantidos recolhidos ou sob abrigos impermeáveis. Tempo seco. Alinhamento de ações de bem-estar animal com a vigilância epidemiológica municipal."
"40","baixo","Vistoria em Obras de Infraestrutura Viária","Empresas de engenharia devem manter poços de drenagem temporários e manilhas estocadas na horizontal para evitar o represamento de água da chuva. O canteiro de obras viárias deve possuir plano de controle de pragas ativo.","construção civil; rodovia; tubulação; canteiro de obras","Entulho; Alagamento","Organização Mundial da Saúde","https://www.who.int","Canteiro de obras de ampliação viária urbana. Risco baixo. Tubulações de concreto estocadas de forma a não reter líquidos e canaletas provisórias funcionais. Clima seco. Acompanhamento de infraestruturas públicas em grande escala."
"41","médio","Limpeza de Calhas Entupidas no Outono","Inspecione e limpe as calhas do seu imóvel com urgência. O acúmulo de folhas misturado com as primeiras chuvas pode reter grandes volumes de água em locais elevados, tornando-se o ambiente ideal para a reprodução massiva do mosquito Aedes aegypti.","calhas; folhas; chuva; limpeza","Mosquito; Vegetação alta","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Bairro residencial antigo com arborização urbana densa nas calçadas. Risco médio. Calhas de residências apresentando lento escoamento de água após pancadas de chuva de verão, devido ao acúmulo de matéria orgânica vegetal caída das árvores. Temperatura elevada e umidade relativa média. Justifica-se a intervenção para evitar que focos elevados passem despercebidos durante as inspeções de rotina no solo."
"42","médio","Atenção a Lixões Clandestinos em Terrenos","Evite descartar resíduos sólidos em terrenos baldios. A combinação de embalagens plásticas, sacos abertos e pequenas poças d'água cria múltiplos criadouros em uma única área. Denuncie o descarte irregular à prefeitura e proteja seu bairro contra a dengue.","terreno baldio; lixo irregular; denúncia; bairro","Lixo; Mosquito","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Terreno não edificado na periferia urbana com vegetação rasteira e acúmulo de lixo doméstico descartado inadequadamente. Risco médio. Presença de garrafas plásticas, sacolas e potes contendo pequenas lâminas d'água de chuva recente. Clima quente. Elevada densidade de moradias no entorno direto amplia o risco de transmissão local de arboviroses."
"43","médio","Descarte de Entulho em Canteiros de Obras","Assegure que restos de construção, como baldes, capacetes velhos e lonas dobradas, sejam recolhidos ou mantidos secos em canteiros de obras. O acúmulo de água limpa nesses recipientes acelera a proliferação do vetor da dengue na vizinhança.","construção; obras; entulho; baldes","Entulho; Mosquito","Fiocruz","https://www.fiocruz.br","Canteiro de obra residencial em andamento próximo a setor comercial. Risco médio. Sacos de cimento vazios, baldes plásticos dispostos a céu aberto acumulando água da chuva recente e restos de alvenaria. Clima abafado com pancadas de chuva ao final da tarde. Risco epidemiológico relacionado à alta rotatividade de trabalhadores expostos na área."
"44","médio","Manejo de Água em Horta Comunitária","Utilize telas de proteção em tambores e barris de armazenamento de água para irrigação de hortas comunitárias. Garanta que recipientes de rega sejam esvaziados após o uso diário para evitar a oviposição do mosquito em áreas de cultivo urbano.","horta; tambores; irrigação; telas","Mosquito; Vegetação alta","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Horta comunitária instalada em terreno urbano público. Risco médio. Presença de tambores abertos para captação e armazenamento de água de rega, apresentando presença de larvas de primeiro estágio do Aedes aegypti. Vegetação de hortaliças densa ao redor. Período chuvoso com alta umidade. A ação rápida evita o surgimento de foco difusor comunitário."
"45","médio","Cuidado com Água Retida em Sucatas","Pátios de apreensão de veículos e ferros-velhos devem aplicar cobertura impermeável sobre carcaças ou mantê-las sob galpões. Veículos acidentados acumulam água em portas, paralamas e motor, constituindo criadouros de difícil acesso para agentes sanitários.","ferro-velho; veículos; sucatas; pátio","Entulho; Mosquito","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Pátio de oficina mecânica e depósito de sucatas a céu aberto. Risco médio. Carcaças de veículos desmontados retendo água pluvial no compartimento do motor e em pneus sobressalentes. Clima quente e úmido. Estrutura ambiental complexa com múltiplos microbiótopos que dificultam o tratamento focal mecânico."
